Facility Owner,Count,% of Total,Search Company Name
"Digital Realty Trust, Inc.",492,3.45,Digital Realty
"Amazon.com, Inc.",453,3.18,Amazon
"Equinix, Inc.",396,2.78,Equinix
Microsoft Corporation,345,2.42,Microsoft
China Telecom Corporation Limited,300,2.1,China Telecom
NTT Global Data Centers Preparatory Corporation,247,1.73,NTT Global Data Centers
Alphabet Inc.,235,1.65,Google
"Lumen Technologies, Inc.",208,1.46,Lumen
China Mobile Limited,179,1.26,China Mobile
"China United Network Communications Group Co., Ltd.",175,1.23,China Unicom
GDS Holdings Limited,162,1.14,GDS
"Meta Platforms, Inc.",160,1.12,Meta
"Cogent Communications Holdings, Inc.",155,1.09,Cogent Communications
"Vantage Data Centers Management Company, LLC",144,1.01,Vantage Data Centers
"QTS Realty Trust, LLC",144,1.01,QTS
"Stack Infrastructure, Inc.",137,0.96,STACK Infrastructure
CyrusOne Inc.,112,0.79,CyrusOne
KDDI Corporation,101,0.71,KDDI
Mapletree Industrial Trust,85,0.6,Mapletree Industrial Trust
Verizon Communications Inc.,84,0.59,Verizon
"DataBank Holdings, Ltd.",82,0.57,DataBank
EdgeConneX Inc.,81,0.57,EdgeConneX
"VNET Group, Inc.",81,0.57,VNET
Colt Technology Services Limited,71,0.5,Colt
"Compass Datacenters, LLC",69,0.48,Compass Datacenters
EXA Infrastructure,68,0.48,EXA Infrastructure
Tencent Holdings Limited - 騰訊控股有限公司,68,0.48,Tencent
"Iron Mountain Data Centers, LLC",63,0.44,Iron Mountain
cloudHQ LLC,62,0.43,cloudHQ
Alibaba Group Holding Limited,61,0.43,Alibaba
Data4 Group,60,0.42,Data4
"Aligned Data Centers (Phoenix), LLC",58,0.41,Aligned Data Centers
CoreSite Realty Corporation,58,0.41,CoreSite
GLP Global Ventures Limited,56,0.39,GLP
Global Switch Holdings Limited,55,0.39,Global Switch
"Cologix, Inc.",54,0.38,Cologix
"Beijing Sinnet Technology Co.,Ltd",53,0.37,Sinnet
Flexential Inc.,52,0.36,Flexential
Khazna Data Center Limited,49,0.34,Khazna
Scala Data Centers S.A.,48,0.34,Scala Data Centers
Centersquare,47,0.33,Centersquare
"Shanghai @hub Co.,Ltd.",44,0.31,Shanghai @hub
Keppel DC REIT,43,0.3,Keppel
Tract,43,0.3,Tract
"TierPoint, LLC",43,0.3,TierPoint
Sabey Data Center Properties LLC,42,0.29,Sabey Data Centers
Range IDC,39,0.27,Range IDC
nLighten Deutschland GmbH,38,0.27,nLighten
Crown Castle Inc.,37,0.26,Crown Castle
"Switch, Inc.",37,0.26,Switch
Ascenty Data Centers e Telecomunicações S.A.,37,0.26,Ascenty
ChinData Group,37,0.26,Chindata
Colt Data Centre Services UK Limited,35,0.25,Colt DCS
atNorth ehf,34,0.24,atNorth
Retelit S.p.A.,34,0.24,Retelit
"Shanghai Baosight Software Co.,Ltd.",34,0.24,Shanghai Baosight Software
AirTrunk Pte Ltd.,34,0.24,AirTrunk
PowerHouse Data Centers,33,0.23,PowerHouse Data Centers
"Stream Data Centers, L.P.",33,0.23,Stream Data Centers
NEXTDC Limited,32,0.22,NEXTDC
Apple Inc.,32,0.22,Apple
Hotwon Group,32,0.22,Hotwon Group
"Prime Data Centers, Corp.",31,0.22,Prime Data Centers
Orange Business Services SA,31,0.22,Orange Business
Princeton Digital Group (Singapore) Pte. Limited,31,0.22,Princeton Digital Group
NTT DATA Group Corporation,31,0.22,NTT DATA
Atlasedge Data Centres,30,0.21,AtlasEdge
LG Uplus Corp.,30,0.21,LG Uplus
"Skybox Datacenters, LLC",30,0.21,Skybox Datacenters
Telstra Group Limited,30,0.21,Telstra
SixSigma Networks Mexico SA de CV,30,0.21,SixSigma Networks Mexico
Telia Company AB (publ),30,0.21,Telia
Nippon Telegraph and Telephone East Corporation,29,0.2,NTT East
"Sino-Ocean Capital Co., Ltd.",29,0.2,Sino-Ocean Capital
Cirion Technologies,29,0.2,Cirion
"T5 Data Centers, LLC",29,0.2,T5 Data Centers
Bridge Data Centres (International) Pte. Ltd.,28,0.2,Bridge Data Centres
COPT Defense Properties,28,0.2,COPT Defense Properties
Green Mountain AS,28,0.2,Green Mountain
Hoyinn Data,28,0.2,Hoyinn Data
Menlo Equities VI LP,27,0.19,Menlo Equities VI
TPG Telecom Limited,27,0.19,TPG Telecom
ST Telemedia,27,0.19,ST Telemedia
Sify Technologies Limited,27,0.19,Sify
H5 Data Centers LLC,27,0.19,H5 Data Centers
euNetworks Holdings Limited,27,0.19,euNetworks
STT Global Data Centres India Private Limited,25,0.18,STT GDC
SoftBank Group Corp.,25,0.18,SoftBank
PT. Telekomunikasi Indonesia International,25,0.18,Telkom Indonesia
"Cellnex Telecom, S.A.",25,0.18,Cellnex
Internet Initiative Japan Inc.,25,0.18,IIJ
NorthC Group B.V.,24,0.17,NorthC
"Zayo Group Holdings, Inc.",24,0.17,Zayo
Nxtra Data Limited,24,0.17,Nxtra
Crusoe Energy Systems LLC,24,0.17,Crusoe
"Baidu, Inc.",24,0.17,Baidu
Homer City Redevelopment,24,0.17,Homer City Redevelopment
Public Joint Stock Company Rostelecom,24,0.17,Rostelecom
"Guangdong Aofei Data Technology Co., Ltd.",23,0.16,Guangdong Aofei Data Technology
"365 Data Centers Services, LLC",22,0.15,365 Data Centers
"ServerFarm, LLC",22,0.15,Serverfarm
CtrlS Datacenters Ltd.,22,0.15,CtrlS
Tata Communications Limited,22,0.15,Tata Communications
VIRTUS Data Centres Ltd.,22,0.15,VIRTUS
NEC Corporation,21,0.15,NEC
