method,score,reason,address_score,name_score,owner_score,city_score,dc_excel_row,dc_owner,dc_name,dc_country,dc_city,dc_address,dc_lat,dc_long,451_excel_row,451_owner,451_name,451_country,451_city,451_address,451_lat,451_long
01_lat_long_2dp,1.0,"Rounded lat/long key -43.53, 172.64",1.0,1.0,1.0,1.0,9,Spark,Christchurch Exchange,New Zealand,Christchurch,"109 Hereford Street, Christchurch Central City, Christchurch 8011, New Zealand",-43.53187918,172.6354836,10419,Spark New Zealand Limited,Christchurch,New Zealand,Christchurch,109 Hereford Street,-43.53199,172.63567
01_lat_long_2dp,1.0,"Rounded lat/long key -43.53, 172.63",1.0,1.0,0.6364,1.0,10,Datacom Data Centres,Gloucester,New Zealand,Christchurch Central,"67 Gloucester Street, 8013, Christchurch, New Zealand",-43.52947687,172.6319686,13152,Datacom Australia Holdings Pty Limited,Gloucester,New Zealand,Christchurch,Gloucester Street,-43.52949,172.632
01_lat_long_2dp,1.0,"Rounded lat/long key -43.49, 172.56",0.4571,1.0,0.2286,1.0,13,Umbrellar,Christchurch,New Zealand,Christchurch,"Unit 5/7 Sir Gil Simpson Drive, Burnside, Christchurch 8053, New Zealand",-43.49205196,172.5592793,10418,Two Degrees Mobile Limited,Christchurch,New Zealand,Christchurch,"Sheffield Crescent, Burnside",-43.49018,172.56139
01_lat_long_2dp,1.0,"Rounded lat/long key -43.49, 172.56",1.0,1.0,0.129,1.0,14,Vocus,Christchurch,New Zealand,Christchurch,"21 Sheffield Crescent, Burnside, Christchurch 8543, New Zealand",-43.49113901,172.5606672,10418,Two Degrees Mobile Limited,Christchurch,New Zealand,Christchurch,"Sheffield Crescent, Burnside",-43.49018,172.56139
01_lat_long_2dp,1.0,"Rounded lat/long key -42.82, 147.30",0.625,0.2222,0.1818,1.0,16,DXN,TAS01,Australia,Dowsing Point,"40-50 Innovation Dr, Dowsing Point, TAS 7010",-42.82215452,147.3041967,11529,Tasmanet Pty. Ltd.,DC02,Australia,Dowsing Point,30-38 Innovation Drive,-42.823265,147.303019
01_lat_long_2dp,1.0,"Rounded lat/long key -42.82, 147.30",0.8421,1.0,1.0,1.0,16,DXN,TAS01,Australia,Dowsing Point,"40-50 Innovation Dr, Dowsing Point, TAS 7010",-42.82215452,147.3041967,20789,DXN Limited,TAS01 (Tasmanet DC03),Australia,Dowsing Point,40-50 Innovation Drive,-42.823265,147.303019
01_lat_long_2dp,1.0,"Rounded lat/long key -41.30, 174.77",1.0,1.0,0.6364,1.0,19,Datacom Data Centres,Abel,New Zealand,Wellington,"84 Abel Smith Street, Te Aro Wellington, 6011, New Zealand",-41.29576461,174.773294,8401,Datacom Australia Holdings Pty Limited,Abel,New Zealand,Wellington,84 Abel Smith Street,-41.29576,174.77331
01_lat_long_2dp,1.0,"Rounded lat/long key -41.29, 174.78",0.0,0.16,0.0645,1.0,20,Chorus,Courtenay Place,New Zealand,Wellington,"26 Cambridge Terrace, Te Aro, Wellington 6011, New Zealand",-41.29472379,174.7828881,21816,Spark New Zealand Limited,Wellington,New Zealand,Wellington,,-41.292381,174.778746
01_lat_long_2dp,1.0,"Rounded lat/long key -41.23, 174.87",1.0,0.0,1.0,1.0,26,ACSData,Data Centre,New Zealand,Lower Hutt,"25 Victoria Street, Petone, Lower Hutt 5012, New Zealand",-41.22532903,174.871665,21817,Acsdata,Wellington,New Zealand,Lower Hutt,Victoria Street,-41.22513,174.87165
01_lat_long_2dp,1.0,"Rounded lat/long key -38.20, 146.53",0.7586,1.0,1.0,1.0,33,Edge Centres,EC8 Traralgon,Australia,Traralgon,"105 Princes St, Traralgon VIC 3844, Australia",-38.1995723,146.5346285,12319,Edge Centres,EC8 Traralgon,Australia,Traralgon,105 Princes Street,-38.19957,146.53478
01_lat_long_2dp,1.0,"Rounded lat/long key -37.95, 145.19",0.6957,1.0,1.0,0.24,37,Fujitsu,Noble Park,Australia,Melbourne,"5 Summit Rd, Noble Park North VIC 3174, Australia",-37.94747841,145.1856079,17359,Fujitsu Limited,Noble Park Data Centre,Australia,Noble Park North,3-5 Summit Road,-37.948255,145.185073
01_lat_long_2dp,1.0,"Rounded lat/long key -37.92, 145.13",0.3279,0.2857,0.6364,0.375,38,Telstra InfraCo,Clayton,Australia,Melbourne,"1822 Dandenong Road Clayton, VIC 3168",-37.92076854,145.1319323,14339,Telstra Group Limited,Internal Telstra DC only,Australia,Clayton,1816-1834 Princes Highway,-37.91882,145.13255
01_lat_long_2dp,1.0,"Rounded lat/long key -37.92, 145.13",1.0,0.2727,0.4103,0.375,38,Telstra InfraCo,Clayton,Australia,Melbourne,"1822 Dandenong Road Clayton, VIC 3168",-37.92076854,145.1319323,20892,Centuria Industrial REIT,Telstra Data Centre Complex,Australia,Clayton,1822 Dandenong Road,-37.92099,145.132
01_lat_long_2dp,1.0,"Rounded lat/long key -37.83, 144.95",0.7742,0.0,0.1579,1.0,45,Fusion Energy Group,Epsilon Data Centre,Australia,Melbourne,"55 Crockford St, Port Melbourne VIC 3207, Australia",-37.83399868,144.9481834,11604,TPG Telecom Limited,DC2,Australia,Port Melbourne,55 Crockford Street,-37.834132,144.948335
01_lat_long_2dp,1.0,"Rounded lat/long key -37.83, 144.95",1.0,0.3636,0.3846,1.0,45,Fusion Energy Group,Epsilon Data Centre,Australia,Melbourne,"55 Crockford St, Port Melbourne VIC 3207, Australia",-37.83399868,144.9481834,16125,Epsilon Data Centre,MEL1,Australia,Port Melbourne,55 Crockford St.,-37.834132,144.948335
01_lat_long_2dp,1.0,"Rounded lat/long key -37.83, 144.95",1.0,0.3636,0.1579,1.0,45,Fusion Energy Group,Epsilon Data Centre,Australia,Melbourne,"55 Crockford St, Port Melbourne VIC 3207, Australia",-37.83399868,144.9481834,16130,TPG Telecom Limited,MEL2,Australia,Port Melbourne,55 Crockford St.,-37.834132,144.948335
01_lat_long_2dp,1.0,"Rounded lat/long key -37.83, 144.91",0.7619,1.0,1.0,1.0,47,NEXTDC,M4,Australia,Melbourne,"127 Todd Rd, Port Melbourne VIC 3207, Australia",-37.82852552,144.9101328,15783,NEXTDC Limited,M4,Australia,Port Melbourne,127 Todd Road,-37.82925,144.91109
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.92",0.3158,0.2222,0.1,1.0,49,Arrow Capital,Holden,Australia,Melbourne,"Fishermans Bend, Port Melbourne, VIC 3207",-37.82438908,144.91599,16059,"Equinix, Inc.",ME1,Australia,Port Melbourne,600 Lorimer Street,-37.82311,144.915362
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.92",0.3158,0.2353,0.1,1.0,49,Arrow Capital,Holden,Australia,Melbourne,"Fishermans Bend, Port Melbourne, VIC 3207",-37.82438908,144.91599,16060,"Equinix, Inc.",ME1 - Equinix,Australia,Port Melbourne,600 Lorimer Street,-37.82295,144.915362
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.92",0.3158,0.2222,0.1,1.0,49,Arrow Capital,Holden,Australia,Melbourne,"Fishermans Bend, Port Melbourne, VIC 3207",-37.82438908,144.91599,16061,"Equinix, Inc.",ME2,Australia,Port Melbourne,601 Lorimer Street,-37.821222,144.916899
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.92",0.3158,0.3,0.1,1.0,49,Arrow Capital,Holden,Australia,Melbourne,"Fishermans Bend, Port Melbourne, VIC 3207",-37.82438908,144.91599,18500,"Equinix, Inc.",Port Melbourne,Australia,Port Melbourne,600 Lorimer Street,-37.82295,144.915362
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.93",0.7586,0.0,1.0,1.0,50,NEXTDC,M1,Australia,Melbourne,"826 Lorimer Street, Port Melbourne, 3207, Australia ",-37.822678,144.932103,8969,NEXTDC Limited,AU2,Australia,Port Melbourne,826-830 Lorimer St.,-37.822634,144.932106
01_lat_long_2dp,1.0,"Rounded lat/long key -37.82, 144.93",0.7586,0.0,1.0,1.0,50,NEXTDC,M1,Australia,Melbourne,"826 Lorimer Street, Port Melbourne, 3207, Australia ",-37.822678,144.932103,11220,NEXTDC Limited,Data Centre A,Australia,Port Melbourne,826-830 Lorimer St.,-37.822634,144.932106
